,author,avgRating,bookid,genre1,genre2,isbn,lang,name,rating1,rating2,rating3,rating4,rating5,rating_count,url
46,David L. Sokol,4.14,7685831,Business,Buisness,,English,"Pleased, but not Satisfied",0,2,8,8,17,35,https://www.goodreads.com/book/show/7685831-pleased-but-not-satisfied
47,David Kirkpatrick,3.84,7518289,Business,Nonfiction,9.78144E+12,English,The Facebook Effect: The Inside Story of the Company That is Connecting the World,287,550,2092,3271,2611,8811,https://www.goodreads.com/book/show/7518289-the-facebook-effect
48,Robert B. Cialdini,4.19,28815,Business,Nonfiction,9.78006E+12,English,Influence: The Psychology of Persuasion,968,2182,9118,19947,27625,59840,https://www.goodreads.com/book/show/28815.Influence
49,Jennifer Egan,3.65,8519525,Fiction,Contemporary,,English,A Visit from the Goon Squad,6385,15682,38342,52321,36591,149321,https://www.goodreads.com/book/show/8519525-a-visit-from-the-goon-squad
50,Shel Silverstein,4.29,30119,Poetry,Childrens,9.78006E+12,English,Where the Sidewalk Ends,17448,31743,142607,301782,568693,1062273,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
51,Shel Silverstein,4.37,370493,Childrens,Childrens,9.78006E+12,English,The Giving Tree,17097,22420,81287,178023,462904,761731,https://www.goodreads.com/book/show/370493.The_Giving_Tree
52,Tim Wynne-Jones,4.68,6954929,Childrens,Childrens,9.78089E+12,English,Zoom (Zoom Trilogy #1-3),0,0,3,10,37,50,https://www.goodreads.com/book/show/6954929-zoom
53,Bill Boyarsky,4.14,6908202,,,9.78188E+12,English,Inventing L.A.: The Chandlers and Their Times,0,1,3,3,7,14,https://www.goodreads.com/book/show/6908202-inventing-l-a
54,Tony Hsieh,4,6828896,Business,Nonfiction,9.78045E+12,English,"Delivering Happiness: A Path to Profits, Passion, and Purpose",1730,2369,7865,15079,17751,44794,https://www.goodreads.com/book/show/6828896-delivering-happiness
55,Andre Agassi,4.2,6480781,Nonfiction,Autobiography,9.78031E+12,English,Open,671,1559,7981,22348,24264,56823,https://www.goodreads.com/book/show/6480781-open
56,Michael   Lewis,4.26,8213519,Nonfiction,Business,,English,The Big Short: Inside the Doomsday Machine (Liar's Poker #2),1192,2451,13085,42138,50355,109221,https://www.goodreads.com/book/show/8213519-the-big-short
57,Harry Chandler,3.5,6390320,,,9.78188E+12,English,DREAMERS IN DREAM CITY,,,,,,4,https://www.goodreads.com/book/show/6390320-dreamers-in-dream-city
58,Christopher McDougall,4.28,6289283,Nonfiction,Sports and Games,9.78031E+12,English,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",1685,3434,16051,45561,64112,130843,https://www.goodreads.com/book/show/6289283-born-to-run
59,Chris Anderson,3.83,6150530,Business,Nonfiction,9.7814E+12,English,Free: The Future of a Radical Price,390,883,3255,4301,4018,12847,https://www.goodreads.com/book/show/6150530-free
60,J.K. Rowling,4.39,4,Young Adult,Fantasy,9.78044E+12,English,Harry Potter and the Chamber of Secrets (Harry Potter #2),8835,43821,253551,586774,1169013,2061994,https://www.goodreads.com/book/show/4.Harry_Potter_and_the_Chamber_of_Secrets
61,John Steinbeck,3.85,890,Fiction,Favorites,9.78014E+12,English,Of Mice and Men,48631,115767,372919,563918,506443,1607678,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
62,Jeff Jarvis,3.81,5100525,Business,Nonfiction,9.78006E+12,English,What Would Google Do?,222,560,1858,2372,2279,7291,https://www.goodreads.com/book/show/5100525-what-would-google-do
63,John Wooden,4.19,40955,Sports and Games,Biography,6.39785E+11,,They Call Me Coach,22,48,240,487,688,1485,https://www.goodreads.com/book/show/40955.They_Call_Me_Coach
64,Tom Clancy,4.12,32682,Fiction,Thriller,9.78043E+12,English,Patriot Games (Jack Ryan Universe #2),1504,4193,29124,62516,60593,157930,https://www.goodreads.com/book/show/32682.Patriot_Games
65,Hermann Hesse,4,4908081,Fiction,Philosophy,,,Siddhartha,10849,27021,89101,149305,174531,450807,https://www.goodreads.com/book/show/4908081-siddhartha
66,Paulo Coelho,3.83,865,Fiction,Classics,9.78006E+12,English,The Alchemist,81072,133851,315380,454676,566425,1551404,https://www.goodreads.com/book/show/865.The_Alchemist
67,J.K. Rowling,4.45,3,Fantasy,Young Adult,9.78044E+12,English,Harry Potter and the Sorcerer's Stone (Harry Potter #1),83987,109520,486359,1253715,3359941,5293522,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
68,Al Ries,4.06,760025,Business,Nonfiction,9.78007E+12,English,Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace,268,549,2195,3952,4748,11712,https://www.goodreads.com/book/show/760025.Positioning
69,Phil Knight,4.43,29893493,Business,Biography,,English,Shoe Dog: A Memoir by the Creator of NIKE,792,913,3772,12914,28100,46491,https://www.goodreads.com/book/show/29893493-shoe-dog
70,Frank Herbert,4.2,1022863,Science Fiction,Fiction,9.79E+12,English,Dune (Dune #1),13799,23794,78177,164964,280651,561385,https://www.goodreads.com/book/show/1022863.Dune
71,L.M. Montgomery,4.23,8127,Classics,Fiction,9.78045E+12,English,Anne of Green Gables (Anne of Green Gables #1),9705,20915,84749,169124,289119,573612,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
72,J.R.R. Tolkien,4.48,33,Adventure,Science Fiction Fantasy,9.78062E+12,English,The Lord of the Rings (The Lord of the Rings #1-3),4961,9960,39163,112198,296060,462342,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
73,Jeremy D. Zawodny,4.23,43244,Computer Science,Computer Science,9.7806E+12,English,"High Performance MySQL: Optimization, Backups, Replication, Load Balancing & More",4,19,80,210,262,575,https://www.goodreads.com/book/show/43244.High_Performance_MySQL
74,David McCullough,4.06,1067,History,Nonfiction,9.78074E+12,English,1776,3819,6230,25612,56932,58591,151184,https://www.goodreads.com/book/show/1067.1776
75,Ken Follett,4.3,8545079,Historical,Fiction,,English,The Pillars of the Earth (Kingsbridge #1),9994,17889,61102,157565,284687,531237,https://www.goodreads.com/book/show/8545079-the-pillars-of-the-earth
76,Kazuo Ishiguro,4.11,8622058,Fiction,Historical,,English,The Remains of the Day,1869,5846,24431,55343,57398,144887,https://www.goodreads.com/book/show/8622058-the-remains-of-the-day
77,Ayn Rand,3.85,2122,Fiction,Classics,9.78045E+12,English,The Fountainhead,18835,19437,45847,79604,102452,266175,https://www.goodreads.com/book/show/2122.The_Fountainhead
78,Khaled Hosseini,4.27,874,Fiction,Historical,9.78075E+12,English,The Kite Runner,35772,62518,236295,663654,1003438,2001677,https://www.goodreads.com/book/show/874.The_Kite_Runner
79,Harper Lee,4.26,2657,Classics,Fiction,9.78006E+12,English,To Kill a Mockingbird (To Kill a Mockingbird #1),63647,123558,470890,1066273,1838277,3562645,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
80,George R.R. Martin,4.41,10572,Fantasy,Fiction,9.78055E+12,English,A Clash of Kings (A Song of Ice and Fire #2),1952,7530,59329,235028,344049,647888,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
81,Richard Feynman,4.28,5548,Science,Biography,9.78039E+12,English,What Do You Care What Other People Think?,134,334,2362,6580,8308,17718,https://www.goodreads.com/book/show/5548.What_Do_You_Care_What_Other_People_Think_
82,Khaled Hosseini,4.35,128029,Fiction,Historical,9.78159E+12,English,A Thousand Splendid Suns,6978,18948,103917,313186,482020,925049,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
83,Jack London,3.84,1852,Classics,Young Adult,9.78044E+12,English,The Call of the Wild,6700,17507,66354,96488,78417,265466,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild
84,Alvin Toffler,4,67490,Nonfiction,Politics,9.78055E+12,English,"Powershift: Knowledge, Wealth, and Power at the Edge of the 21st Century",15,38,175,355,294,877,https://www.goodreads.com/book/show/67490.Powershift
85,Carlos Ruiz Zafón,4.25,1232,Fiction,Historical,9.78014E+12,English,The Shadow of the Wind (El cementerio de los libros olvidados #1),5125,12574,45227,109736,172276,344938,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
86,Chuck Palahniuk,4.2,5759,Fiction,Contemporary,9.78039E+12,English,Fight Club,4863,13379,61292,147135,183935,410604,https://www.goodreads.com/book/show/5759.Fight_Club
87,Aldous Huxley,3.97,5129,Classics,Fiction,9.78006E+12,English,Brave New World,28055,64080,233450,417037,413777,1156399,https://www.goodreads.com/book/show/5129.Brave_New_World
88,J.R.R. Tolkien,4.34,34,Classics,Fiction,9.78062E+12,English,The Fellowship of the Ring (The Lord of the Rings #1),40087,58642,212404,521958,1116227,1949318,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
89,Douglas Adams,4.2,361,Science Fiction,Fiction,,English,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",749,4178,27682,57663,69920,160192,https://www.goodreads.com/book/show/361.Life_the_Universe_and_Everything
90,Franklin W. Dixon,3.76,76931,Mystery,Fiction,9.78045E+12,English,The Bombay Boomerang (Hardy Boys #49),11,73,425,399,310,1218,https://www.goodreads.com/book/show/76931.The_Bombay_Boomerang
91,Franklin W. Dixon,3.73,76932,Mystery,Fiction,9.78045E+12,English,The Clue in the Embers (Hardy Boys #35),13,76,505,410,337,1341,https://www.goodreads.com/book/show/76932.The_Clue_in_the_Embers
92,Franklin W. Dixon,3.76,76933,Fiction,Young Adult,9.78045E+12,English,The Clue of the Broken Blade (Hardy Boys #21),8,87,543,468,386,1492,https://www.goodreads.com/book/show/76933.The_Clue_of_the_Broken_Blade
93,Franklin W. Dixon,3.75,76934,Mystery,Fiction,9.78045E+12,English,The Clue of the Screeching Owl (Hardy Boys #41),11,92,553,475,391,1522,https://www.goodreads.com/book/show/76934.The_Clue_of_the_Screeching_Owl
94,Franklin W. Dixon,3.74,76936,Mystery,Fiction,9.78045E+12,English,Danger on Vampire Trail (Hardy Boys #50),6,60,310,300,218,894,https://www.goodreads.com/book/show/76936.Danger_on_Vampire_Trail
95,Franklin W. Dixon,3.81,32198,Mystery,Fiction,9.78045E+12,English,The Secret of Skull Mountain (Hardy Boys #27),18,105,659,613,549,1944,https://www.goodreads.com/book/show/32198.The_Secret_of_Skull_Mountain
96,Franklin W. Dixon,3.74,76948,Mystery,Fiction,9.78045E+12,English,The Shattered Helmet (Hardy Boys #52),11,58,346,345,236,996,https://www.goodreads.com/book/show/76948.The_Shattered_Helmet
97,Franklin W. Dixon,3.75,76952,Mystery,Fiction,9.78045E+12,English,The Mark on the Door (Hardy Boys #13),18,124,752,665,531,2090,https://www.goodreads.com/book/show/76952.The_Mark_on_the_Door
98,Franklin W. Dixon,3.7,76953,Mystery,Fiction,9.78045E+12,English,The Masked Monkey (Hardy Boys #51),13,64,401,352,246,1076,https://www.goodreads.com/book/show/76953.The_Masked_Monkey
99,Gerald Durrell,4.26,36505603,Nonfiction,Biography,,English,My Family and Other Animals (Corfu Trilogy #1),280,831,3660,8859,13056,26686,https://www.goodreads.com/book/show/36505603-my-family-and-other-animals
100,Frances Hodgson Burnett,4.12,2998,Classics,Fiction,9.78052E+12,English,The Secret Garden,8972,26943,136576,258561,307138,738190,https://www.goodreads.com/book/show/2998.The_Secret_Garden
101,Neil Gaiman,4.08,5577844,,,,English,Stardust,3094,10654,55142,115186,108099,292175,https://www.goodreads.com/book/show/5577844-stardust
102,Eric Carle,4.29,4948,,,9.78024E+12,English,The Very Hungry Caterpillar,6698,12288,46204,77968,184709,327867,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
103,Dr. Seuss,4.3,23772,Childrens,Childrens,9.78039E+12,English,Green Eggs and Ham,7617,15876,70964,129379,272866,496702,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
104,J.R.R. Tolkien,4.59,30,Fantasy,Fiction,9.78035E+12,English,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings (The Lord of the Rings 0-3),843,1364,6013,20718,69035,97973,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
105,Douglas Adams,4.21,11,Science Fiction,Fiction,9.78035E+12,English,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),23352,44894,155949,324000,544219,1092414,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
106,Robert A. Caro,4.42,8191070,Biography,History,,English,Master of the Senate (The Years of Lyndon Johnson #3),194,382,1240,2929,7831,12576,https://www.goodreads.com/book/show/8191070-master-of-the-senate
107,Robert Louis Stevenson,3.82,295,Classics,Fiction,9.78075E+12,English,Treasure Island,5928,20500,91820,122996,91743,332987,https://www.goodreads.com/book/show/295.Treasure_Island
108,Franklin W. Dixon,3.76,96646,Mystery,Fiction,9.78045E+12,English,The Firebird Rocket (Hardy Boys #57),10,60,305,276,239,890,https://www.goodreads.com/book/show/96646.The_Firebird_Rocket
109,Jessica Livingston,3.93,98233,Business,Business,9.78159E+12,English,Founders at Work: Stories of Startups' Early Days,724,1269,3874,5812,7309,18988,https://www.goodreads.com/book/show/98233.Founders_at_Work
110,Dan Ariely,4.1,1713426,Nonfiction,Psychology,9.78006E+12,English,Predictably Irrational: The Hidden Forces That Shape Our Decisions,1073,2756,12545,30247,29019,75640,https://www.goodreads.com/book/show/1713426.Predictably_Irrational
111,Jane Austen,4.25,1893,Fiction,Classics,9.78159E+12,English,Pride and Prejudice,58625,91670,301634,649394,1242397,2343720,https://www.goodreads.com/book/show/1893.Pride_and_Prejudice
112,J.K. Rowling,4.53,6,Fantasy,Childrens,9.78044E+12,English,Harry Potter and the Goblet of Fire (Harry Potter #4),7005,20965,157668,520026,1285183,1990847,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
113,J.D. Salinger,3.8,5107,Classics,Favorites,9.78032E+12,English,The Catcher in the Rye,115897,196423,482445,702683,762940,2260388,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
114,Benjamin Graham,4.25,6621611,Economics,Business,,English,The Intelligent Investor,859,1240,5467,13096,20740,41402,https://www.goodreads.com/book/show/6621611-the-intelligent-investor
115,Maurice Sendak,4.22,19543,Childrens,Childrens,9.7801E+12,English,Where the Wild Things Are,17114,29666,99801,177441,357517,681539,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
116,William Shakespeare,4.49,569564,Classics,Poetry,9.78052E+12,English,The Complete Works,468,706,4380,11182,30389,47125,https://www.goodreads.com/book/show/569564.The_Complete_Works
117,Lynne Reid Banks,3.83,156770,Fantasy,Fiction,9.78039E+12,English,The Return of the Indian (The Indian in the Cupboard #2),147,548,3162,3717,2958,10532,https://www.goodreads.com/book/show/156770.The_Return_of_the_Indian
118,Beatrix Potter,4.16,375711,Childrens,Childrens,9.78072E+12,English,The Tale of Mr. Jeremy Fisher (The World of Beatrix Potter: Peter Rabbit),88,369,2098,2945,4727,10227,https://www.goodreads.com/book/show/375711.The_Tale_of_Mr_Jeremy_Fisher
119,J.R.R. Tolkien,4.51,18512,Fantasy,Fiction,9.78035E+12,English,The Return of the King (The Lord of the Rings #3),2772,8287,44423,138311,345055,538848,https://www.goodreads.com/book/show/18512.The_Return_of_the_King
120,J.R.R. Tolkien,4.42,15241,Fantasy,Classics,9.78062E+12,English,The Two Towers (The Lord of the Rings #2),3105,10681,57802,164413,327512,563513,https://www.goodreads.com/book/show/15241.The_Two_Towers
121,J.K. Rowling,4.62,136251,Fantasy,Young Adult,9.78055E+12,English,Harry Potter and the Deathly Hallows (Harry Potter #7),9931,23153,118827,406116,1423394,1981421,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
122,J.K. Rowling,4.74,862041,Fantasy,Young Adult,9.78055E+12,English,Harry Potter Boxset (Harry Potter #1-7),1195,1357,7320,32083,173722,215677,https://www.goodreads.com/book/show/862041.Harry_Potter_Boxset
123,George R.R. Martin,4.31,10673579,Fantasy,Fiction,9.78055E+12,English,A Dance with Dragons (A Song of Ice and Fire #5),2556,10697,56657,156204,228378,454492,https://www.goodreads.com/book/show/10673579-a-dance-with-dragons
124,Douglas Adams,4.38,12,Science Fiction,Fiction,9.78052E+12,English,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5 & short story),2741,6540,27303,69028,142112,247724,https://www.goodreads.com/book/show/12.The_Ultimate_Hitchhiker_s_Guide
125,Ian Fleming,3.89,3764,Fiction,Thriller,9.78014E+12,English,From Russia With Love (James Bond (Original Series) #5),277,1098,6271,9301,6648,23595,https://www.goodreads.com/book/show/3764.From_Russia_With_Love
126,Doris Kearns Goodwin,4.28,5572634,History,Nonfiction,,English,Team of Rivals: The Political Genius of Abraham Lincoln,3892,3651,12268,33963,65085,118859,https://www.goodreads.com/book/show/5572634-team-of-rivals
127,Ken Follett,4.24,5064,Historical,Fiction,9.78053E+12,English,World Without End (Kingsbridge #2),1285,4462,21672,57162,72829,157410,https://www.goodreads.com/book/show/5064.World_Without_End
128,J.K. Rowling,4.47,2,Fantasy,Young Adult,9.78044E+12,English,Harry Potter and the Order of the Phoenix (Harry Potter #5),9941,32707,187325,520178,1208402,1958553,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
129,Suzanne Collins,4.34,2767052,Young Adult,Fiction,9.78044E+12,English,The Hunger Games (The Hunger Games #1),73453,139827,609835,1594471,2889468,5307054,https://www.goodreads.com/book/show/2767052-the-hunger-games
130,Louis de Bernières,3.96,3388,War,Cultural,9.78068E+12,English,Corelli's Mandolin,1776,4129,13567,24554,24095,68121,https://www.goodreads.com/book/show/3388.Corelli_s_Mandolin
131,William Golding,3.65,7624,Classics,Fiction,9.78014E+12,English,Lord of the Flies,97492,168618,449915,602631,463376,1782032,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
132,Roald Dahl,4.11,6310,Childrens,Fantasy,9.78014E+12,English,Charlie and the Chocolate Factory (Charlie Bucket #1),6986,18366,99097,189312,216818,530579,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
133,George Orwell,4.15,5470,Classics,Fiction,9.78045E+12,English,1984,46016,93366,350144,757988,1025042,2272556,https://www.goodreads.com/book/show/5470.1984
134,David Macaulay,4.33,304889,Nonfiction,Science,9.78059E+12,English,The Way Things Work,8,39,296,776,1130,2249,https://www.goodreads.com/book/show/304889.The_Way_Things_Work
135,Ian Fleming,3.55,177193,Fiction,Thriller,9.78014E+12,English,The Man With the Golden Gun (James Bond (Original Series) #13),124,758,3178,2770,1380,8210,https://www.goodreads.com/book/show/177193.The_Man_With_the_Golden_Gun
