Label	GroupId	CoveredQueryTermNumberAnchor	CoveredQueryTermNumberTitle	CoveredQueryTermNumberUrl	CoveredQueryTermNumberWholeDocument	CoveredQueryTermNumberBody	CoveredQueryTermRatioAnchor	CoveredQueryTermRatioTitle	CoveredQueryTermRatioUrl	CoveredQueryTermRatioWholeDocument	CoveredQueryTermRatioBody	StreamLengthAnchor	StreamLengthTitle	StreamLengthUrl	StreamLengthWholeDocument	StreamLengthBody	IdfAnchor	IdfTitle	IdfUrl	IdfWholeDocument	IdfBody	SumTfAnchor	SumTfTitle	SumTfUrl	SumTfWholeDocument	SumTfBody	MinTfAnchor	MinTfTitle	MinTfUrl	MinTfWholeDocument	MinTfBody	MaxTfAnchor	MaxTfTitle	MaxTfUrl	MaxTfWholeDocument	MaxTfBody	MeanTfAnchor	MeanTfTitle	MeanTfUrl	MeanTfWholeDocument	MeanTfBody	VarianceTfAnchor	VarianceTfTitle	VarianceTfUrl	VarianceTfWholeDocument	VarianceTfBody	SumStreamLengthNormalizedTfAnchor	SumStreamLengthNormalizedTfTitle	SumStreamLengthNormalizedTfUrl	SumStreamLengthNormalizedTfWholeDocument	SumStreamLengthNormalizedTfBody	MinStreamLengthNormalizedTfAnchor	MinStreamLengthNormalizedTfTitle	MinStreamLengthNormalizedTfUrl	MinStreamLengthNormalizedTfWholeDocument	MinStreamLengthNormalizedTfBody	MaxStreamLengthNormalizedTfAnchor	MaxStreamLengthNormalizedTfTitle	MaxStreamLengthNormalizedTfUrl	MaxStreamLengthNormalizedTfWholeDocument	MaxStreamLengthNormalizedTfBody	MeanStreamLengthNormalizedTfAnchor	MeanStreamLengthNormalizedTfTitle	MeanStreamLengthNormalizedTfUrl	MeanStreamLengthNormalizedTfWholeDocument	MeanStreamLengthNormalizedTfBody	VarianceStreamLengthNormalizedTfAnchor	VarianceStreamLengthNormalizedTfTitle	VarianceStreamLengthNormalizedTfUrl	VarianceStreamLengthNormalizedTfWholeDocument	VarianceStreamLengthNormalizedTfBody	SumTfidfAnchor	SumTfidfTitle	SumTfidfUrl	SumTfidfWholeDocument	SumTfidfBody	MinTfidfAnchor	MinTfidfTitle	MinTfidfUrl	MinTfidfWholeDocument	MinTfidfBody	MaxTfidfAnchor	MaxTfidfTitle	MaxTfidfUrl	MaxTfidfWholeDocument	MaxTfidfBody	MeanTfidfAnchor	MeanTfidfTitle	MeanTfidfUrl	MeanTfidfWholeDocument	MeanTfidfBody	VarianceTfidfAnchor	VarianceTfidfTitle	VarianceTfidfUrl	VarianceTfidfWholeDocument	VarianceTfidfBody	BooleanModelAnchor	BooleanModelTitle	BooleanModelUrl	BooleanModelWholeDocument	BooleanModelBody	VectorSpaceModelAnchor	VectorSpaceModelTitle	VectorSpaceModelUrl	VectorSpaceModelWholeDocument	VectorSpaceModelBody	Bm25Anchor	Bm25Title	Bm25Url	Bm25WholeDocument	Bm25Body	LmirAbsAnchor	LmirAbsTitle	LmirAbsUrl	LmirAbsWholeDocument	LmirAbsBody	LmirDirAnchor	LmirDirTitle	LmirDirUrl	LmirDirWholeDocument	LmirDirBody	LmirJmAnchor	LmirJmTitle	LmirJmUrl	LmirJmWholeDocument	LmirJm	NumberSlashInUrl	LengthUrl	InlinkNumber	OutlinkNumber	PageRank	SiteRank	QualityScore	QualityScore2	QueryUrlClickCount	UrlClickCount	UrlDwellTime
0	1	3	0	3	0	3	1	0	1	0	1	164	1	10	10	185	6.931275	22.076928	19.673353	22.255383	6.926551	7	0	3	0	10	2	0	1	0	3	3	0	1	0	4	2.333333	0	1	0	3.333333	0.222222	0	0	0	0.222222	0.042683	0	0.30000	0	0.054054	0.012195	0	0.10000	0	0.016216	0.018293	0	0.10000	0	0.021622	0.014228	0	0.10000	0	0.018018	0.000008	0	0	0	0.000006	15.014677	0	19.673353	0	21.928252	3.456385	0	5.373163	0	4.594393	6.157834	0	7.985784	0	9.234893	5.004892	0	6.557784	0	7.309417	1.29454	0	1.167248	0	3.900733	1	0	1	0	1	0.989585	0	1	0	0.995185	17.086598	0	16.461859	0	18.680795	-13.906925	-21.242171	-10.497324	-25.436074	-12.777452	-19.937663	-24.805464	-21.468789	-27.690319	-19.028161	-13.124289	-24.041386	-7.222766	-28.119826	-12.388381	2	44	5	30	16711	61690	3	4	0	0	0	
0	1	3	1	3	0	3	1	0.333333	1	0	1	666	3	4	7	680	6.931275	22.076928	19.673353	22.255383	6.926551	16	1	3	0	20	2	0	1	0	3	11	1	1	0	13	5.333333	0.333333	1	0	6.666667	16.222222	0.222222	0	0	20.222222	0.024024	0.333333	0.75000	0	0.029412	0.003003	0	0.25000	0	0.004412	0.016517	0.333333	0.25000	0	0.019118	0.008008	0.111111	0.25000	0	0.009804	0.000037	0.024691	0	0	0.000044	27.310622	5.99246	19.673353	0	35.343934	5.400458	0	5.373163	0	8.098966	12.673413	5.99246	7.985784	0	14.931778	9.103541	1.997487	6.557784	0	11.781311	8.824852	7.979907	1.167248	0	7.922666	1	0	1	0	1	0.795213	0.465641	1	0	0.841036	14.337614	6.57647	26.759999	0	16.096093	-16.021352	-21.242171	-7.76183	-25.436074	-14.992027	-19.157904	-24.805464	-21.45982	-27.690319	-18.389395	-15.617916	-24.041386	-4.474536	-28.119826	-14.823006	3	66	6	7	220	48022	7	18	0	0	0	
0	1	3	0	3	0	3	1	0	1	0	1	1475	1	4	7	1487	6.931275	22.076928	19.673353	22.255383	6.926551	9	0	3	0	12	2	0	1	0	3	4	0	1	0	5	3	0	1	0	4	0.666667	0	0	0	0.666667	0.006102	0	0.75000	0	0.00807	0.001356	0	0.25000	0	0.002017	0.002712	0	0.25000	0	0.003362	0.002034	0	0.25000	0	0.00269	0	0	0	0	0	18.867035	0	19.673353	0	25.776506	4.608514	0	5.373163	0	5.742991	8.100687	0	7.985784	0	10.798622	6.289012	0	6.557784	0	8.592169	2.041149	0	1.167248	0	4.466447	1	0	1	0	1	0.968431	0	1	0	0.98316	9.599771	0	26.759999	0	11.592912	-19.468448	-21.242171	-7.76183	-25.436074	-18.335164	-20.784941	-24.805464	-21.45982	-27.690319	-19.991092	-18.982129	-24.041386	-4.474536	-28.119826	-18.100689	3	55	6	7	220	48022	1	13	0	0	0	
0	1	3	0	3	0	3	1	0	1	0	1	1601	0	1593	5	3199	6.931275	22.076928	19.673353	22.255383	6.926551	205	0	205	0	410	2	0	2	0	4	196	0	196	0	392	68.333333	0	68.333333	0	136.666667	8153.555556	0	8153.555556	0	32614.222222	0.128045	0	0.128688	0	0.128165	0.001249	0	0.001255	0	0.00125	0.122423	0	0.123038	0	0.122538	0.042682	0	0.042896	0	0.042722	0.003181	0	0.003213	0	0.003187	616.933111	0	1291.207316	0	1233.57164	5.400458	0	15.971567	0	10.798622	603.467754	0	1237.62361	0	1206.692642	205.64437	0	430.402439	0	411.190547	79132.905363	0	325881.062086	0	316416.441253	1	0	1	0	1	0.719317	0	0.571363	0	0.719428	16.010314	0	7.375994	0	16.264683	-14.685627	-21.242171	-14.693263	-25.436074	-14.428995	-16.351573	-24.805464	-16.424232	-27.690319	-15.518556	-14.505591	-24.041386	-14.498349	-28.119826	-14.503056	2	25	0	0	1322	11454	1	4	0	0	0	
0	1	3	0	3	0	3	1	0	1	0	1	1268	0	4	7	1279	6.931275	22.076928	19.673353	22.255383	6.926551	15	0	3	0	18	3	0	1	0	4	7	0	1	0	8	5	0	1	0	6	2.666667	0	0	0	2.666667	0.01183	0	0.75000	0	0.014073	0.002366	0	0.25000	0	0.003127	0.005521	0	0.25000	0	0.006255	0.003943	0	0.25000	0	0.004691	0.000002	0	0	0	0.000002	31.560172	0	19.673353	0	38.457194	8.064899	0	5.373163	0	9.188786	15.394586	0	7.985784	0	18.469785	10.520057	0	6.557784	0	12.819065	11.880727	0	1.167248	0	16.397251	1	0	1	0	1	0.960116	0	1	0	0.972952	13.315239	0	26.759999	0	14.640131	-17.237032	-21.242171	-7.76183	-25.436074	-16.558097	-19.312206	-24.805464	-21.45982	-27.690319	-18.768342	-17.074485	-24.041386	-4.474536	-28.119826	-16.500564	3	53	0	1	208	48022	2	13	0	0	0	
0	1	3	0	2	2	3	1	0	0.666667	0.666667	1	741	0	9	12	762	6.931275	22.076928	19.673353	22.255383	6.926551	68	0	2	2	72	1	0	0	0	1	35	0	1	1	37	22.666667	0	0.666667	0.666667	24	236.222222	0	0.222222	0.222222	266	0.091768	0	0.222222	0.166667	0.094488	0.00135	0	0	0	0.001312	0.047233	0	0.111111	0.083333	0.048556	0.030589	0	0.074074	0.055556	0.031496	0.00043	0	0.002743	0.001543	0.000458	141.550073	0	11.687569	13.366322	149.859909	2.700229	0	0	0	2.699655	98.525348	0	6.314406	7.49424	104.662117	47.183358	0	3.895856	4.455441	49.953303	1553.930881	0	7.736505	10.364042	1760.513676	1	0	0	0	1	0.793695	0	0.720414	0.731014	0.792798	16.72776	0	10.449928	10.889497	16.755041	-13.966048	-21.242171	-17.119535	-18.743972	-13.932493	-16.459027	-24.805464	-23.934636	-25.595508	-16.371578	-13.106894	-24.041386	-16.886457	-18.50343	-13.074479	7	72	0	5	10122	65535	57	35	0	0	0	
0	1	0	0	0	0	0	0	0	0	0	0	21	3	3	10	37	6.931275	22.076928	19.673353	22.255383	6.926551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30.363118	-21.242171	-20.838749	-25.436074	-30.366374	-28.080339	-24.805464	-24.497864	-27.690319	-28.098015	-30.727024	-24.041386	-23.634899	-28.119826	-30.739885	4	62	1	0	1049	60996	79	9	0	0	0	
2	1	3	0	3	0	3	1	0	1	0	1	327	1	3	6	337	6.931275	22.076928	19.673353	22.255383	6.926551	10	0	3	0	13	3	0	1	0	4	4	0	1	0	5	3.333333	0	1	0	4.333333	0.222222	0	0	0	0.222222	0.030581	0	1	0	0.038576	0.009174	0	0.333333	0	0.011869	0.012232	0	0.333333	0	0.014837	0.010194	0	0.333333	0	0.012859	0.000002	0	0	0	0.000002	23.872741	0	19.673353	0	30.784503	3.456385	0	5.373163	0	4.594393	12.315668	0	7.985784	0	15.391488	7.95758	0	6.557784	0	10.261501	13.091389	0	1.167248	0	19.573792	1	0	1	0	1	0.989961	0	1	0	0.99389	17.595473	0	29.874827	0	18.747069	-14.455215	-21.242171	-6.901022	-25.436074	-13.57417	-19.153105	-24.805464	-21.458323	-27.690319	-18.482719	-14.091448	-24.041386	-3.611597	-28.119826	-13.385779	2	46	222	0	1066	203	11	71	3576	1037	98.2189760888829	
0	1	3	0	2	2	3	1	0	0.666667	0.666667	1	741	0	9	13	763	6.931275	22.076928	19.673353	22.255383	6.926551	68	0	2	2	72	1	0	0	0	1	35	0	1	1	37	22.666667	0	0.666667	0.666667	24	236.222222	0	0.222222	0.222222	266	0.091768	0	0.222222	0.153846	0.094364	0.00135	0	0	0	0.001311	0.047233	0	0.111111	0.076923	0.048493	0.030589	0	0.074074	0.051282	0.031455	0.00043	0	0.002743	0.001315	0.000457	141.550073	0	11.687569	13.366322	149.859909	2.700229	0	0	0	2.699655	98.525348	0	6.314406	7.49424	104.662117	47.183358	0	3.895856	4.455441	49.953303	1553.930881	0	7.736505	10.364042	1760.513676	1	0	0	0	1	0.793695	0	0.720414	0.731014	0.792798	16.72776	0	10.449928	10.329268	16.752113	-13.966048	-21.242171	-17.119535	-18.903119	-13.936148	-16.459027	-24.805464	-23.934636	-25.596998	-16.372664	-13.106894	-24.041386	-16.886457	-18.66347	-13.078398	8	78	0	5	3492	65535	101	56	0	0	0	
0	1	3	0	0	0	3	1	0	0	0	1	2032	0	6	13	2051	6.931275	22.076928	19.673353	22.255383	6.926551	42	0	0	0	42	2	0	0	0	2	24	0	0	0	24	14	0	0	0	14	82.666667	0	0	0	82.666667	0.020669	0	0	0	0.020478	0.000984	0	0	0	0.000975	0.011811	0	0	0	0.011702	0.00689	0	0	0	0.006826	0.00002	0	0	0	0.00002	82.314215	0	0	0	82.218431	5.400458	0	0	0	5.399311	49.262674	0	0	0	49.252761	27.438072	0	0	0	27.406144	320.671684	0	0	0	320.53368	1	0	0	0	1	0.821205	0	0	0	0.821175	13.920762	0	0	0	13.965276	-16.651804	-21.242171	-20.838749	-25.436074	-16.679541	-18.073534	-24.805464	-24.497864	-27.690319	-18.089557	-16.500438	-24.041386	-23.634899	-28.119826	-16.528394	3	65	0	0	280	20296	16	2	0	0	0	
2	1	3	3	3	0	3	1	1	1	0	1	510	10	4	5	529	6.931275	22.076928	19.673353	22.255383	6.926551	49	7	3	0	59	4	2	1	0	8	23	3	1	0	26	16.333333	2.333333	1	0	19.666667	76.222222	0.222222	0	0	68.222222	0.096078	0.70000	0.75000	0	0.111531	0.007843	0.20000	0.25000	0	0.015123	0.045098	0.30000	0.25000	0	0.049149	0.032026	0.233333	0.25000	0	0.037177	0.000293	0.002222	0	0	0.000244	105.036047	52.67120	19.673353	0	128.418238	10.800916	11.984921	5.373163	0	21.597244	67.736176	25.55203	7.985784	0	76.957439	35.012016	17.557067	6.557784	0	42.806079	576.506755	33.612765	1.167248	0	594.54633	1	1	1	0	1	0.860834	0.979913	1	0	0.909931	20.347854	21.468743	26.759999	0	21.600491	-11.331812	-5.546487	-7.76183	-25.436074	-10.394392	-15.741228	-19.477109	-21.45982	-27.690319	-14.858462	-11.402698	-4.738302	-4.474536	-28.119826	-10.56988	2	43	11089534	17	115	63540	1	4	0	0	0	
2	1	3	0	3	0	3	1	0	1	0	1	1503	2	4	7	1516	6.931275	22.076928	19.673353	22.255383	6.926551	11	0	3	0	14	2	0	1	0	3	5	0	1	0	6	3.666667	0	1	0	4.666667	1.555556	0	0	0	1.555556	0.007319	0	0.75000	0	0.009235	0.001331	0	0.25000	0	0.001979	0.003327	0	0.25000	0	0.003958	0.00244	0	0.25000	0	0.003078	0.000001	0	0	0	0.000001	24.267493	0	19.673353	0	31.175817	4.608514	0	5.373163	0	5.742991	13.501145	0	7.985784	0	16.197933	8.089164	0	6.557784	0	10.391939	15.044832	0	1.167248	0	18.887011	1	0	1	0	1	0.921918	0	1	0	0.951166	10.705181	0	26.759999	0	12.437723	-18.895065	-21.242171	-7.76183	-25.436074	-17.914751	-20.32919	-24.805464	-21.45982	-27.690319	-19.629811	-18.529615	-24.041386	-4.474536	-28.119826	-17.754203	3	63	11089534	15	283	63540	1	3	0	0	0	
